,coef,std err,t,sig.,standardized_coef_beta
Constant,  404.2526,  106.373,    3.800, 0.000, 
GDP,   -1.0409,    0.751,   -1.387, 0.168,-0.1693823920337898
Loans,    0.2643,    0.095,    2.789, 0.006,0.10542243125142281
Imports,    0.0655,    0.101,    0.650, 0.517,0.047618441435015375
GNP,   -0.0029,    0.556,   -0.005, 0.996,-0.0005751130183147121
Workeroutput,    0.4045,    0.295,    1.371, 0.173,0.0622438255374889
GovernmentExpenditure,    0.0430,    0.217,    0.199, 0.843,0.013680961996176726
PersonalDisposableIncome,   -0.1324,    0.365,   -0.363, 0.717,-0.011643999814315938
RentalVacancyRate,   -7.5206,    0.585,  -12.856, 0.000,-0.4815437336834578
CPI,   -0.0071,    0.939,   -0.008, 0.994,-0.0002447894665367786
BondYield,   -5.8253,    0.611,   -9.529, 0.000,-0.7072245658751455
EmploymentRate,   -4.1090,    1.052,   -3.906, 0.000,-0.8360723716379143
UnemploymentRate,    0.2917,    1.237,    0.236, 0.814,0.020535707524068393
MedianEarnings,    0.2403,    0.093,    2.589, 0.011,0.1296017479310651
TEDSpread,    1.3931,    1.893,    0.736, 0.463,0.023779483062631817
ManufacturingOutput,    0.6062,    0.188,    3.233, 0.002,0.12801246629358726
